[2026-06-25T22:44:03.027562] KDP | sufijo: — | ok (raw)
[2026-06-25T22:44:03.045247] PEP.DE | sufijo: — | ok (raw)
[2026-06-25T22:44:03.140910] KO | sufijo: — | ok (raw)
[2026-06-25T22:44:03.245156] 0291.HK | sufijo: — | ok (raw)
[2026-06-25T22:44:03.615571] KOF | sufijo: — | ok (raw)
[2026-06-25T22:44:03.708950] SAM | sufijo: — | ok (raw)
[2026-06-25T22:44:03.712493] AC.PA | sufijo: — | ok (raw)
[2026-06-25T22:44:03.982259] CCEP | sufijo: — | ok (raw)
[2026-06-25T22:44:04.008187] 2502.HK | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:44:04.008757] 2501.HK | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:44:04.008874] CARL B | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:44:05.445443] DGL.AX | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:44:15.935761] BN | sufijo: .TO | ok (descubierto)
[2026-06-25T22:44:15.943911] SBUX | sufijo: .DE | ok (descubierto)
[2026-06-25T22:44:16.744326] 2587.T | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:44:19.864928] MNST | sufijo: .VI | ok (descubierto)
[2026-06-25T22:44:23.215869] JDEP | sufijo: .AS | falló — sufijo cacheado no funciona
[2026-06-25T22:44:23.215974] PARA | sufijo: — | ignorado — no resoluble
[2026-06-25T22:44:29.840838] NESN.SW | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:44:29.851889] OSP.BK | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:44:30.535445] CELH | sufijo: — | no encontrado — sin sufijo conocido
